,title,area,numberOfRooms,price,town,district
0,"Tepeköyde Full Eşyalı, 2+1 Bahçe katı Daire",110,2+1,15.000,Büyükada,Maden Mh.
1,BURGAZADADA FULL EŞYALI 2+1 KİRALIK DAİRE,80,2+1,7.500,Burgazada,Burgazada Mh.
2,HEYBELİADA'DA 1 EKIM -15 MAYIS KİRALIK BAHÇEKATI,120,2+1,8.000,Heybeliada,
3,Adalar Kınalı Ada Dublex Full Deniz Manzaralı Kiralık 3+1,130,3+1,15.000,Kınalıada,Kınalıada Mh.
4,HEYBELİADA'DA 3+1 DUBLEKS EŞYALI KİRALIK DAİRE,110,3+1,8.500,Heybeliada,
5,HEYBELİ'DE 2+1 KOMBİLİ 110M2 - 1.KAT EŞYALI 18.000 TL,110,2+1,18.000,Heybeliada,
6,İstanbul-Büyükada'da 2022 Ekim ile 2023 Haziran ayları arası,90,2+1,8.500,Büyükada,Nizam Mh.
7,Heybeli'de manzaralı bahçe katı,70,2+1,8.000,Heybeliada,
8,Burgaz adada ful eşyalı sezonlu kiralık deniz manzaralı müstakil,140,2+1,90.000,Burgazada,Burgazada Mh.
9,"Burgazada 2+1 geniş balkonlu, bahçeli, eşyalı, Yıllık Kiralık",150,2+1,20.000,Burgazada,Burgazada Mh.
10,Büyükada Kesintisiz Deniz Manzaralı Sezonluk 3+1 Kiralık Daire,160,3+1,23.000,Büyükada,Maden Mh.
11,Kınalıada Da 2023 Sezonluk Eşyalı Deniz Manzaralı Kiralık Daire,90,2+1,95.000,Kınalıada,Kınalıada Mh.
12,Kınalıada Da Yaz-Kış Eşyalı Deniz Manzaralı Kiralık Daire,80,2+1,10.000,Kınalıada,Kınalıada Mh.
13,Planet'ten Düz Büyük Bahçeli Havuzlu Site İçinde Bahçe Kat daire,165,3+1,19.000,Büyükada,Nizam Mh.
14,"Heybeliada Mustakil, Manzarali, Esyali Ev",250,3+1,15.000,Heybeliada,
15,HEYBELİADA EŞYALI 3.5+1 DUBLEKS KİRALIK DAİRE,150,3.5+1,12.500,Heybeliada,
16,DBA HEYBELİADA 1+1 70m2 EŞYALI KİRALIK BAHÇE KATI,70,1+1,7.000,Heybeliada,
17,HEYBELİ ADA'DA DENİZE YÜRÜME MESAFESİNDE EŞYALI KİRALIK DAİRE,120,2+1,13.000,Heybeliada,
18,Büyükada TERRACE LİDOda 2+1 KİRALIK Havuzlu D.Manz.Site Dairesi,110,2+1,40.000,Büyükada,Nizam Mh.
19,DEMET DINO DAN YAZ KIS KIRALIK BURGAZADA +++aciklamayi okuyun+++,90,2+1,16.000,Burgazada,Burgazada Mh.
20,Büyükada Kumsalda Deniz Manzaralı Modern Eşyalı Daire,100,3+1,15.000,Büyükada,Maden Mh.
21,"Büyükada Kiralık 3+1 Yüksek Giriş, Çift Balkon, Eşyalı, Merkezde",110,3+1,9.000,Büyükada,Maden Mh.
22,BÜYÜKADA ÇINAR CADESİNDE İSKELEYE YÜRÜME MESAFESİNDE KİRALIK,90,2+1,8.000,Büyükada,Maden Mh.
23,"Kınalıada, Narçiçeği Sokakta Deniz Manzaralı Kiralık 2+1 Daire",120,2+1,90.000,Kınalıada,Kınalıada Mh.
24,Planet'ten Deniz Manzaralı 3+1 İçi Yenilenmiş Ara Kat daire.,130,3+1,16.000,Büyükada,Maden Mh.
25,Büyükada Emlak'tan 3+1 Full Eşyalı Manzaralı Aylık Kiralık Daire,140,3+1,15.000,Büyükada,Maden Mh.
26,Planet'ten Müstakil Bahçeli 1+1 Eşyasız Kiralık Ferah Daire,50,1+1,8.000,Büyükada,Nizam Mh.
27,SEZONLUK KİRALIK SÜPER LÜX HAVUZ VE DENİZ MANZARALI DAİRE,140,3+1,300.000,Büyükada,Maden Mh.
28,BURGAZADADA FULL EŞYALI MUHTEŞEM MANZARA 2+1 Açıklamayı okuyunuz,80,2+1,7.500,Burgazada,Burgazada Mh.
29,"Burgazada 3+1 geniş, bahçeli, eşyalı, aylık ve sezonluk kiralık",160,3+1,35.000,Burgazada,Burgazada Mh.
30,Planet'ten Deniz Manzaralı 3+1 Teras Katı İçi Yenilenmiş Daire,130,3+1,15.000,Büyükada,Maden Mh.
31,HEYBELİADA 2+1 EKİM AYI İÇİN KİRALIK EŞYALI BAHÇE KATI DAİRE,120,2+1,15.000,Heybeliada,
32,GÜNCELİZ'DEN BÜYÜKADA MERKEZDE EŞYALI MÜSTAKİL BAHÇELİ 2+1,100,2+1,11.750,Büyükada,Maden Mh.
33,Planet'ten Deniz Manzaralı İçi Sıfır 3+1 Kiralık Daire,125,3+1,14.000,Büyükada,Maden Mh.
34,Burgazada Kiralık Eşyalı Daire,100,2+1,39.000,Burgazada,Burgazada Mh.
35,"Büyükada'da Sahibinden 170m2, 3+1, Havuzlu Dubleks",200,3+1,14.500,Büyükada,Nizam Mh.
36,Sahibinden Heybeliada'da Eylül-Ekim eşyalı kiralık daire,120,2+1,15.000,Heybeliada,
37,"Temiz,full eşyalı, yıllık kiralık daire.",65,1+1,115.000,Büyükada,Maden Mh.
38,Arnavutköy Merkezde Site İçinde 2+1 Daire 7/24 Güvenlikli,90,2+1,5.500,Arnavutköy,Arnavutköy Merkez Mh.
39,5+1 Taşoluk'ta 180M² Kiralık Üst Dublex Daire,210,5+1,9.000,Taşoluk,Taşoluk Mh.
40,Arnavutköy Mustafa Kemal Paşa Mahallesi 2+1 Arakat Daire,90,2+1,6.000,Arnavutköy,Mustafa Kemal Paşa Mh.
41,SAHİBİNDEN KİRALIK SIFIR DAİRE,100,2+1,5.000,Taşoluk,Mehmet Akif Ersoy Mah.
42,SAHİBİNDEN KOMİSYONSUZ KİPTAŞ 3.ETAP A29 AİLEYE KİRALIK DAİRE,84,2+1,6.500,Hadımköy,(Boyalık)Deliklikaya Mah.
43,Arnavutköy bollucada sahibinden eşyalı kiralık daire,90,2+1,4.500,Bolluca,
